,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
2988,1484555,71613,39733,bicycle,Empanada Mama (closed),Mexican,TJC,1.0,Wheat Flour,03:21.4,40.764217,-73.988321,40.8049122,-73.9624917,00:49:12.100000,00:51:10.900000,00:10:31.100000,00:30:30.200000,5.017611264972055
2991,1415700,56551,129698,car,Parm,Italian,Chicken Parm,1.0,Sandwiches,02:50.8,40.72301983,-73.995854,40.7779784,-73.9512449,00:45:33.200000,00:45:47.400000,00:04:07.400000,00:29:45,7.1722001785827985
2996,1440161,127139,153879,bicycle,Taim Falafel and Smoothie Bar,Food Truck,Israeli Salad,1.0,Salads & Sides,03:29.5,40.73595141,-74.00176042,40.7375347,-74.0074525,00:35:46.600000,00:54:14.900000,00:04:58.500000,00:09:28,0.5119439543885665
3004,1438560,141596,84093,bicycle,Peacefood Cafe,Vegan,Pan-seared Shanghai-Style Dumplings,2.0,Side Dishes,06:19.2,40.78516004,-73.97691647,40.800023,-73.971317,00:02:13.600000,00:15:59.100000,00:41:49.200000,00:58:01.200000,1.7168540228341114
3006,1302788,231061,39443,bicycle,Han Dynasty,Chinese,Wonton in Chicken Broth,2.0,Soups,08:04.4,40.732213,-73.988072,40.744708,-73.9908567,00:29:24.100000,00:46:31.800000,00:11:53.400000,00:25:03.700000,1.4073507734192954
3012,1314380,64151,61900,bicycle,Jack's Wife Freda,Mediterranean,Peri Peri Chicken,1.0,Entrees,06:36.3,40.72198995,-73.9977479,40.7148434,-74.0062724,00:09:33.700000,00:21:37.300000,00:30:27.200000,00:36:19.700000,1.0717220230057238
3018,1376520,178172,9078,bicycle,The Meatball Shop,American,Rigatoni,1.0,Stick To Your Bones,06:59.9,40.73613088,-74.0006483,40.7348753,-73.9892251,00:15:23.600000,00:23:28.300000,00:31:48.800000,00:42:27,0.974946538631029
3020,1490744,52256,38597,bicycle,Han Dynasty,Chinese,Wonton in Chicken Broth,1.0,Soups,09:51.2,40.732213,-73.988072,40.732288,-73.987752,00:44:05.200000,00:51:58.400000,00:06:52.100000,00:08:06.600000,0.028285878423532425
3028,1391346,77793,98751,bicycle,The Meatball Shop,Italian,Chicken,1.0,Naked Balls,04:25.2,40.72154512,-73.98884243,40.728564,-73.9951237,00:10:23.400000,00:13:02.200000,00:34:33.400000,00:42:06.100000,0.942935761852525
3032,1356867,262058,143085,car,RedFarm Broadway,Chinese,Spicy Crispy Beef,1.0,Starters & Salads,02:10.6,40.7821167,-73.9807391,40.7794455,-73.9594879,00:27:39.900000,00:43:42.400000,00:48:56.300000,00:59:13,1.8182448656936343
3037,1357194,181018,46760,car,Les Halles,Steak,Grilled Vegetables,1.0,Sides,08:30.7,40.74364391,-73.98388825,40.74484751,-73.97663318,00:02:55.900000,00:07:56.300000,00:26:46.500000,00:32:51.300000,0.627167809648034
3040,1341720,133202,99219,bicycle,Sushi Samba,Sushi,Ezo,1.0,Samba Rolls,06:28.2,40.73266642,-74.00329261,40.7451593,-73.99509,00:51:21.400000,00:58:29.900000,00:12:20.200000,00:23:04.200000,1.5507063622335011
3042,1362172,140477,32580,bicycle,Momoya,Sushi,Spicy Tuna,1.0,Roll,07:34.2,40.78407726,-73.97762241,40.77326063,-73.95889094,00:11:24,00:31:14.300000,00:36:34.500000,00:47:54,1.9857357939352032
3049,1441182,101084,83117,bicycle,RedFarm Hudson,Chinese,Shrimp and Scallop XO Fried Rice,1.0,Rice & Noodles,03:29.0,40.73421385,-74.00620203,40.739976,-73.998979,00:02:46.300000,00:16:59.600000,00:26:51.900000,00:35:08.900000,0.8841334560059269
3050,1281347,53503,124045,bicycle,RedFarm Broadway,Chinese,"Wide Rice Noodles, BBQ�۪d Roast Duck",1.0,Rice & Noodles,05:55.4,40.7821167,-73.9807391,40.76611492,-73.96133834,00:23:56,00:44:36.100000,00:02:26.300000,00:20:29.700000,2.4166579216539086
3057,1464434,344079,173409,bicycle,Olea,Mediterranean,Patatas Bravas,1.0,Tapas,07:23.2,40.687689,-73.970745,40.6946536,-73.9555837,00:08:02.100000,00:17:12.900000,00:35:29.800000,00:45:10.700000,1.4968247181428327
3058,1376045,105903,81503,car,Parm,Italian,Ball,1.0,Mozz (mozzarella),04:59.3,40.72301983,-73.995854,40.7469686,-73.9904406,00:33:25.100000,00:58:49.400000,00:07:30.800000,00:24:53.300000,2.6985081112466487
3062,1463388,145851,6873,car,Nobu Next Door,Sushi,Salmon Egg,1.0,Dinner Sushi & Sashimi,07:03.6,40.71938641,-74.0086925,40.7238564,-74.0036074,00:09:45.100000,00:23:05.900000,00:33:28.100000,00:39:11.400000,0.6564918320536085
